song,play_count,title,release,artist_name,song_era
SODNWUN12AB01823B3,2,Mein Herz erkennt dich immer,Zaubererbruder - Der Krabat-Liederzyklus,ASP,2005
SODNWXE12A6D4F94D3,15,Beacon Hill [Performed By Sharon Isbin] (Album Version),Music From The Motion Picture The Departed,Howard Shore,0
SODNWZA12A8C134F6A,27,Bombtrack,Rage Against The Machine,Rage Against The Machine,1990
SODNXDD12AB018331A,29,September,Leave This Town,Daughtry,2005
SODNXIW12A6D4FCB9A,20,Doomsday Breach,To The Nines,Only Crime,2000
SODNXKC12A8C13664D,1,Great British Mistake,Crossing The Red Sea With The Adverts,The Adverts,1975
SODNYHQ12A8C140400,3,All You Rock & Rollers,Live at Austin City Limits Music Festival 2007: Ghostland Observatory,Ghostland Observatory,2005
SODNYIW12AB018970C,17,Isoders Dronning,Frost,Enslaved,0
SODNYJM12AC3DF9838,1,Missä muruseni on,Seili,Jenni Vartiainen,2010
SODNYLK12AB0184688,7,Asking Around For You,You & Me,Joe Bonamassa,2005
SODNZFM12A58A798E9,9,Hot Cookin',Hot Cookin',G. Love,2005
SODNZLC12A8C13D889,3,Boda En Londres,Mecano,Mecano,0
SODNZXW12AB0183803,3,Magnetic Fields 2,Hong Kong,Jean Michel Jarre,1980
SODNZYO12A8C136E76,1,Oh My Darling,Oh_ My Darling,Basia Bulat,0
SODOACW12AC3DF55C2,1,If You Were Mine,Violent Love,Otis Rush,1955
SODOAON12A6D4FA1D9,3,Stand By Me ( LP Version),Pain In My Heart,Otis Redding,1960
SODOAOO12A58A7C58F,3,I Want to Spend My Lifetime Loving You (Duet with Marc Anthony),The Mask of Zorro - Music from the Motion Picture,Tina Arena duet with Marc Anthony,0
SODOAPE12A8C1329FC,1,Hazardous Youth,Intl Singles Box Set,Eminem,2000
SODOBCZ12A8C13340D,2,Kissin' Time,Kissin' Time,Marianne Faithfull,2000
SODODDO12A8C1423AF,4,You Never Know,Wilco [the album],Wilco,2005
SODODEV12A6D4F854C,2,Yendo A La Casa De Damián,Raro,El Cuarteto De Nos,2005
SODOENI12A6310E21E,1,I Never Loved A Man,The Commitments,The Commitments,1990
SODOEOB12A8AE4843A,1,Get Off My Back,Made In NYC,The Casualties,2000
SODOFFF12A58A7B3FF,2,L.L. Romeo,Non-Stop Je Te Plie En Deux,We Are Wolves,2005
SODOFKA12AF72A44CE,1,If I Could Have You Back,Insomniatic,Aly & AJ,2005
SODOFPK12A6D4F998D,1,Black Sheep Boy #4,Black Sheep Boy Definitive Edition,Okkervil River,2005
SODOFWN12A6D4F4713,1,Move (Live),West Coast Live,Chet Baker,0
SODOGHE12AB01860F6,1,Introspection,Crossroads,Mind.In.A.Box,2005
SODOGSU12A8C13C365,5,Red Sun,Rise,Anoushka Shankar,2005
SODOHKJ12A6701C3F6,18,Navras (Album Version),Matrix Revolutions: The Motion Picture Soundtrack,Juno Reactor Vs. Don Davis,0
SODOHLU12A6D4F94C0,1,I Get High (Album Version),Keep Your Wig On,Fastball,2000
SODOIAG12A8C13F78F,1,I Could Be Nothing,Bodies and Minds,Great Lake Swimmers,2005
SODOIKA12A6D4F8947,1,One Heartbeat,Definitive Collection / Timeless Love - 50th Anniversary Edition,Smokey Robinson,1985
SODOIPZ12A8C137DFB,9,Exhausted Love,E&A,Eyedea & Abilities,2000
SODOITT12A6D4F71EC,3,(Flesh & Blood) Sacrifice (2006 Digital Remaster),Flesh & Blood,Poison,1990
SODOJHI12A58A78C95,8,Get Confused,Odyssey,Fischerspooner,2005
SODOJLK12AB01827E8,70,Six seconds on all sides,Sounds From The Matrix 006,Ayria,2005
SODOKHD12A8C13A36E,1,Sleeping? (Album version),The Swell Season,Glen Hansard & Marketa Irglova,0
SODOLOQ12A8C131435,1,The Ghost In You,Greatest Hits,The Psychedelic Furs,1980
SODOLRB12A8AE47628,10,Touch My Body,R&B Collection,Mariah Carey,2005
SODOLVO12B0B80B2F4,6,Hell,In Your Honor,Foo Fighters,2005
SODOMEK12A8C133E58,1,Splitting Up,Last Night In London,Adequate Seven,2005
SODOMSX12A58A78249,17,All We Ever Needed (Rush Of Fools Album Version),Rush Of Fools,Rush Of Fools,0
SODOMTD12A6D4F855A,5,Get Out Of Your Lazy Bed,The Best Of Matt Bianco,Matt Bianco,1980
SODONCS12A8C136F7C,1,Homesick,Live At The Key Club,Pennywise,1990
SODONGP12AF72AA6D4,3,Baby Carni Bird,Le Fil,Camille,2005
SODONJA12A81C2346B,21,Try Me Out,Eurodisco,Corona,0
SODONRL12A8151BA73,2,Heaven Sent,Ultimate R&B Love 2009,Keyshia Cole,2005
SODONUL12AB01858B1,1,Some Things You Never Forget,Music from the Motion Picture The Curious Case of Benjamin Button,Alexandre Desplat,2005
SODOOBM12A6D4F78E9,1,Sardonicus,Present Arms,UB40,1980
SODOOBU12A6D4F9F6B,1,Cat Scratch Fever (Album Version),Ye Olde Space Bande Plays The Classic Rock Hits,The Moog Cookbook,0
SODOOKD12A8C13D833,4,What If,Last Year's Songs [Greatest Hits],Lisa Miskovsky,2000
SODOOLC12A8C1339AF,4,Ewan,Ewan,The Radio Dept.,2000
SODOOYB12A8C1347AB,1,Suite-Pee,System Of A Down,System of a Down,1995
SODOOZK12AB018122E,1,Be Mine,VOTA,VOTA,2005
SODOPBE12A6D4F8976,1,Romancipation,Soulstar,Musiq,2000
SODOQBR12A8C1377EB,1,Song For Today,Little Death,Pete And The Pirates,0
SODOQKR12A6701C42A,5,C'mon C'mon,The Very Best Of Sheryl Crow,Sheryl Crow,2000
SODOQUU12AAF3B33DF,1,Put It On Me,Def Jam 25: Volume 1 - DJ Bring That Back (2008-1997),Ja Rule / Vita,2000
SODOQUX12AB0182F94,1,Morning,Sub.mersion,Kanka,2005
SODOQZV12AB0180949,9,Say No More,Say No More,Charly García,1995
SODORHA12A6701E746,14,Timeless,Tech-Trance Essentials Part 2,Ron Van Den Beuken,2000
SODORIU12A6D4F84BB,1,Lifeline,Original Hits - 80s Pop,Spandau Ballet,1980
SODORNG12AB01831BF,14,Long Time,War Elephant,Deer Tick,2005
SODORVA12A8C13B259,26,Someday,The Long Road,Nickelback,2000
SODOTJS12A8C140C18,1,I Am Not a Robot [Starsmith 24 Carat Remix],The Crown Jewels EP,Marina And The Diamonds,2005
SODOTOS12A58A7EFFA,8,Dueling Banjos,A Hot Piece Of Grass,Hayseed Dixie,2005
SODOUAJ12A8C133200,1,Trouble [Live],Live At The Bass Performance Hall,Lindsey Buckingham,2005
SODOUAT12A8C135388,1,Bad Time,Passion,Robin Trower,1985
SODOUIC12A8C13D072,1,Deceiver of Fools [Live Version],Mother Earth,Within Temptation,2000
SODOUIW12A6D4F8652,2,Where We're Calling From/Pounding,Some Cities Live EP,Doves,0
SODOULW12A8C135330,5,Arabesque,Concerto,Richard Clayderman,1995
SODOUTP12A6D4F6AA9,6,Jungle Gym,Sing-A-Longs & Lullabies For The Film Curious George,Jack Johnson / G. Love,0
SODOVCS12AF72A1DAB,1,Westfall,Don't Fall In Love With Everyone You See,Okkervil River,2000
SODOVKG12AAFF43E8B,5,Anna Rose,Warm Strangers,Vienna Teng,2000
SODOVUZ12A8C133C02,10,Gods Of War Arise,With Oden On Our Side,Amon Amarth,2005
SODOVYY12A6D4F8B62,1,A Dark Congregation (Album Version),Like Vines,The Hush Sound,2005
SODOWQF12A81C2371B,10,Hustler,Hustler,Simian Mobile Disco,2005
SODOWUC12AC9097E76,156,One Time,One Time,Justin Bieber,2005
SODOWZP12A8C142D1C,3,Everything (Amended Album Version),Murs For President,Murs,2005
SODOXHW12A8C137EC3,2,Coffee Mug,Punk-O-Rama 2,Descendents,1995
SODOXTT12A58A801B5,3,Miles Away (LP Version),Rhino Hi-Five: Winger,Winger,0
SODOZCC12A8C13BAE8,34,Ponderosa,A Ruff Guide To,Tricky,1990
SODOZKV12A8AE45957,2,Shinebox (Album Version),Strictly Diesel,Spineshank,1995
SODOZVP12A58A7A264,3,Many Moons (EP Version),Metropolis: The Chase Suite,Janelle Monae,2005
SODOZXB12A8C13CD55,35,Empty Skies,Resist,Kosheen,2000
SODOZZL12AAA8C8796,1,Spesso_ Sprofondo,Etterna,Emma Shapplin,2000
SODPCCE12AB017EC5C,1,Joropo,La Mano Ajena,La Mano Ajena,0
SODPCMA12A6D4FC1E8,10,Tonight,Youth Novels,Lykke Li,2005
SODPDAN12A8C13F705,1,How Do I Know?!,Amnesia Ibiza - Underground 8,Loco Dice,2005
SODPEWX12A8C13F329,1,That For You,Twenty Three Places,Matt Wertz,2000
SODPFNR12A8C13A28E,1,The Refused Party Program,The Shape Of Punk To Come,Refused,1995
SODPFOS12A6D4F7F4B,2,Lovin' You Ain't Easy (1998 Digital Remaster),The Hollies At Abbey Road 1973-1989,The Hollies,0
SODPFQH12A58A7D6AA,1,Thanks Again,The Sound In Your Mind,Willie Nelson,0
SODPGKX12A8AE48583,2,Hell and High Water (Album Version),Black Stone Cherry,Black Stone Cherry,2005
SODPGQZ12A58A7CBAF,2,Move Higher,Clubbers Guide Electro,Sub Focus Feat. Culture Shock,2005
SODPGZQ12A58A79D74,2,Dontchange,Juslisen,Musiq,2000
SODPHCS12AB018D1C0,4,All In Forms,Black Sands,Bonobo,2010
SODPIFU12A6D4F8EE3,2,Hotel Marquis De Sade,Slender Sherbet,Momus,1985
SODPJPY12A58A7D3EA,2,Kill! Kill! Kill!,Thirteen Tales Of Love And Revenge,The Pierces,2005
SODPKNB12AF72ACEBA,23,Glitter In The Air,Funhouse: The Tour Edition,P!nk,2005
SODPKSU12A6D4F7810,1,Marble Halls (Remastered 2009),Shepherd Moons,Enya,1990
SODPKTR12A8C134EEC,1,Dam That River,Live,Alice In Chains,1990
SODPKUN12A8C136800,1,Adios Amido,I & II,Moistboyz,0
SODPLGC12AB01834A7,1,Rockin Round The World,C.J. Fish,Country Joe & The Fish,1970
SODPLHA12AB018058E,1,Immaculate Infection,Shame,Trash Talk,2005
SODPLJZ12AB018150D,3,Drain the Blood,Hometowns,The Rural Alberta Advantage,2005
SODPLZY12A8C141D85,2,El Dulce De Leche,Ce que l'on sème,Tryo,0
SODPMEB12AB0183034,1,Mt. Dew,9 Patriotic Battle Hymns for Children,Born Against,1990
SODPMOE12A6701F3D5,1,Never Win,Odyssey,Fischerspooner,2005
SODPMVG12AB01819F1,34,Meddle,Hands,Little Boots,2005
SODPNFO12A6310E211,8,Do No Wrong,Do No Wrong,Thirteen Senses,2000
SODPNLZ12A6701F809,6,Holding Out For A Hero,Shrek 2 Deluxe,Jennifer Saunders,2000
SODPNTQ12AB01808B6,4,Tobacco Road,Supergroups Of The 60's,The Nashville Teens,1960
SODPNXZ12A8C13E6C4,1,Old Piano,Details,Frou Frou,2000
SODPORP12AB01812D8,1,Burned [Mono],Neil Young Archives Volume I [1963 - 1972],Buffalo Springfield,0
SODPOWD12A6D4FA3F9,2,Pleading The Fifth (A Cappella),Five Score And Seven Years Ago,Relient K,2005
SODPPBT12A8C141D90,12,Closer,Only By The Night,Kings Of Leon,2005
SODPPDY12AB017F767,12,Friends_ Lovers Or Nothing,Battle Studies,John Mayer,0
SODPQOA12A8AE48F48,3,Encircle,A New Disease Is Born,Nightrage,2005
SODPQZE12A6D4F8AD8,1,Airport,Airport - The Motors Greatest Hits,The Motors,1975
SODPRCN12A8AE49BD5,5,Isiltzen banaiz,Jaio.Musika.Hil,Berri Txarrak,2005
SODPRDZ12A58A7A804,8,Desperate Love (Amor Desesperado),Heat,Oscar Lopez,0
SODPRGI12AB017D91C,3,Deli,Ayrton Sena EP,Delorean,0
SODPRGU12A6D4F4E28,5,En Kingston Town,Azules Turquesas,Lisandro Aristimuno,0
SODPRYO12A8C140A3C,6,Capt Midnight,Mit Gas,Tomahawk,0
SODPSAO12A8C135126,1,Madison Blues,Blues Jam In Chicago,Fleetwood Mac,1965
SODPSCQ12A6701EB7E,2,Your Only Friends Are Make Believe,One Fierce Beer Coaster,Bloodhound Gang,1995
SODPSYG12A8C145EBF,24,Reclaimer,Halo 2 (Original Soundtrack) Volume 2,Martin O'Donnell And Michael Salvatori,2005
SODPTBW12A8C13D240,1,Time & Space,LIVE at The Royal Albert Hall,The Cinematic Orchestra,2000
SODPTIS12A8C142D8C,4,How Low,In Our Nature,José González,2005
SODPTZI12AB018A697,2,Next To You   (Explicit Album Version),Next To You,Mike Jones,0
SODPUNO12A6D4FAE2A,4,Pre-Road Downs (Digitally Remastered LP Version),Rhino Hi-Five: Crosby_ Stills & Nash,Crosby_ Stills & Nash,0
SODPUOG12A8C138B7D,5,When The Lights Go Out,Let's Dance,Five,1995
SODPURK12A6D4F6587,6,Si Senor,Amores Perros,Control Machete,0
SODPUVT12A6BD5311F,1,Pobre Diablo,A Un Idolo,Alexandre Pires,2005
SODPWCW12A8C13BC4C,1,Automatic Schmuck,Barely Legal,The Hives,1995
SODPWLK12AB0189FE5,2,Blame On Me,Rage and Fury,Steel Pulse,1995
SODPXWA12A67ADAB16,1,On Most Surfaces,Nighttime Birds,The Gathering,0
SODPZAE12A6D4FDDB7,1,Let Me Love You (Extended Version),Let Me Love You,Da Buzz,0
SODPZHJ12A6D4FA16A,24,Speak,Operation: Mindcrime,Queensryche,1985
SODPZLQ12A6701EA24,1,Sitting In My Room (LP Version ),Pleasant Dreams,Ramones,1980
SODPZNN12A8C13810C,4,Angels Fall Sometimes,Your Man / Long Black Train,Josh Turner,0
SODPZSW12A8C142219,9,Like A Child,Jars Of Clay,Jars Of Clay,1990
SODPZYD12A8C140F3E,1,Mystery In The Making,Jet Black & Jealous,Eli Young Band,2005
SODQADP12A8C145F17,1,The Arms Of Night,Time The Conqueror,Jackson Browne,2005
SODQAJG12AC3DF6D2F,1,Esoteric,For Long Tomorrow,Toe,2005
SODQBES12AAFF4444C,10,Blank Expression,Alright_ Still (Deluxe),Lily Allen,2005
SODQBJT12A8C1339E9,1,Cross Bones Style,Everything Is Nice: The Matador Records 10th Anniversary Anthology,Cat Power,1995
SODQBUS12A8C13BD6C,3,Hurt Before ( LP Version ),In Blue,The Corrs,2000
SODQCEK12AF72A2A97,1,Phloam,Classics,Aphex Twin,1990
SODQCIN12A8AE4882D,6,Fall At Your Feet (Acoustic),Back To Bedlam,James Blunt,2005
SODQCLH12A8C13205E,5,Evacuation,I Am Legend,James Newton Howard,2005
SODQDAG12A8C141FB0,1,Talk Like That,Talk Like That,The Presets,2005
SODQDRK12A8C1425D2,1,Enjoy the Silence,La Musique de Paris Dernière 6,Moriarty,2005
SODQDWZ12A8C13D484,1,The Boy Is Gone,Beautiful Door,Billy Bob Thornton,2005
SODQDZS12A8C1352B7,18,Shakin',No Control,Eddie Money,1980
SODQEDU12AB0182EB7,1,Revelation,The Haunted Made Me Do It,The Haunted,0
SODQEWY12A6310E048,2,It's Saturday,Shapeshifter,Marcy Playground,1995
SODQFLU12A8C13D7C5,2,Built For Sin,The Moment,Framing Hanley,2005
SODQFND12A8C143961,9,Pen Just Cries Away,Left,Eric Roberson,2005
SODQFOL12A8C135FD8,1,Rock And Roll Nights,BTO's Greatest,Bachman-Turner Overdrive,1985
SODQFQC12A8C13FD7A,8,Good Enough,The Open Door,Evanescence,2005
SODQFSD12A58A79F57,4,Rain (I Want A Divorce),The Last Emperor Original Soundtrack,Ryuichi Sakamoto,0
SODQFXY12A6D4F9E1D,1,Johnny,The Story Goes ....,Craig David,2005
SODQGBE12A6D4F6BAB,5,You Can Do It (Explicit) (Feat. Mack 10 And Ms Toi),Ice Cube's Greatest Hits (Explicit),Ice Cube Featuring Mack 10 And Ms Toi,0
SODQGTS12AB017EA0E,2,Mexican Seafood,Incesticide,Nirvana,0
SODQGWO12AB01885C0,1,Bells Of The Evening  (Album Verision),Cold On The Shoulder,Gordon Lightfoot,1975
SODQHFK12A6702080D,1,Does My Ring Burn Your Finger,I Hope You Dance,Lee Ann Womack,2000
SODQHON12A8C138318,2,Halfcrazy,Juslisen,Musiq,2000
SODQHQF12A8C130FA3,1,Day Shift (Album),Ain't My Lookout,The Grifters,1995
SODQHSP12A6D4F81ED,12,I Was Just Thinking,Poetry & Airplanes,Teitur,2000
SODQHYZ12AB0182BDD,1,New Age,Strange Little Girls,Tori Amos,2000
SODQIVP12AB017B16F,1,Schizophrenia,Consent to Treatment,Blue October,2000
SODQJDZ12A8C13C2AF,1,Twenty-Three,High Expectations/Low Results,Faunts,2005
SODQJQF12A8C137B17,17,Desenredo (G.R.E.S.Unidos Do Pau Brasil),Reencontro,Leila Pinheiro,0
SODQJRM12A8C136783,16,Escapémonos,Valio La Pena,Marc Anthony;Jennifer Lopez,0
SODQKCB12A8C137F1E,1,Suitcase,Matters,Pulley,2000
SODQKHU12A6D4FD5D2,1,Tonto Corazón,Tonto Corazón,Joe Veras,0
SODQKJA12A8C13529B,3,In My Song,The Centenary Collection,Peter Tosh,1985
SODQKXS12A8C135DF7,3,Super Inuit (Studio) [Bonus Track],LP,Holy Fuck,2005
SODQMDJ12A6D4FCD75,12,Jasey Rae,Put Up or Shut Up,All Time Low,2005
SODQMFR12A8C13B091,12,Stand My Ground (Album Version),The Heart Of Everything [US version],Within Temptation,0
SODQMKI12A6D4F9E85,3,Cripple and the Starfish,Antony & The Johnsons,Antony & The Johnsons,1995
SODQMMX12A6D4F854B,2,Así Soy Yo,Raro,El Cuarteto De Nos,2005
SODQMXA12A67020F14,5,On The Road,We Have Sound,Tom Vek,2005
SODQOAK12A8C13C810,2,Another New Day,In Between,Jazzanova,2000
SODQPBJ12A8C13EFCC,1,Mama Loo,Spirit Of Freedom,Les Humphries Singers,1985
SODQPRL12AAF3B50E3,3,Danny Boy,Holidays & Hits,Celtic Woman,2005
SODQPWQ12AF72A24C4,5,How Do I Live,Songbook: A Collection Of Hits,Trisha Yearwood,1995
SODQQIS12B0B808261,1,Canada,Trust,Low,0
SODQQUY12A6701D907,1,No Better Love,Tough Luv,Young Gunz / Rell,2000
SODQQWW12A8C1387B9,13,Valio La Pena,Valio La Pena,Marc Anthony,0
SODQRFJ12A8C1328AA,1,Happiness,Seventh Tree,Goldfrapp,2005
SODQRGA12A6D4F9C09,5,Everything (Album Version),15,Buckcherry,2005
SODQSOF12AB018CC77,5,Jolly Dance,Back To The Beginning - Usher,Usher Featuring The Nu Beginning,2000
SODQTBY12A58A76904,5,Dúlaman,A New Journey,Celtic Woman,2005
SODQTCQ12A8C13FF86,6,TO BE OVER,LIVE IN MONTREUX 2003,Yes,1970
SODQTEU12A6701E006,5,Tiger In Your Tank,One More Mile / Chess Collectibles_ Vol. 1,Muddy Waters,1960
SODQUDX12A6701EB3B,7,Beggars & Hangers-On,It's Five O'Clock Somewhere,Slash's Snakepit,1995
SODQUEJ12A67ADA1C1,1,Crash And Burn/Subway Ride,The Globe Sessions,Sheryl Crow,1995
SODQULZ12A6701F49D,1,Eyes Ears Mouth (Demo),Goodnight Goodnight,Hot Hot Heat,2005
SODQUOT12A8C13543D,2,My Body (Remastered Single Version),The Best of Keith Sweat: Make You Sweat,LSG,0
SODQUUI12A6701F44F,1,Hallelujah (Club Mix),Greatest Hits,Happy Mondays,1985
SODQUUI12AB017D8C8,1,This Could Be Beautiful [it is],Pip Paine [Pay The £5000 You Owe],Metronomy,0
SODQVKH12AB017FD5E,2,Express Yourself,Music For The Times We Live In,Charles Wright,2000
SODQVTV12AB0184BB2,1,Linus & Lucy,Linus & Lucy - The Music Of Vince Guaraldi,George Winston,1995
SODQWKZ12A8C13D895,1,Me Voy De Casa,Mecano,Mecano,0
SODQWLI12A6D4FACD6,13,Chick Like Me,Unappreciated,Cherish Featuring Rasheeda,2005
SODQWWW12A6D4F6965,1,Winterwood,The Very Best Of Don McLean,Don McLean,1970
SODQXAN12A8C13AADD,1,Vom selben Stern,Vom selben Stern,Ich + Ich,2005
SODQXUK12AF72A13E5,1,Pinocchiho,K.O.D.,Tech N9ne,2005
SODQYDJ12AB017C3DD,11,Pause 4 Porno,2001 Instrumental,Dr. Dre,1995
SODQYRE12A6702075B,1,Hello To The Floor,Cuts Across The Land,The Duke Spirit,2005
SODQYTP12A8AE47E98,8,Be Together,Be Together,Supafly Inc,0
SODQYZG12AB017CA3F,3,Babies With Guns,Bazooka Tooth,Aesop Rock,2000
SODQZCY12A6D4F9D11,93,El Cuatrero,From Argentina To The World,Miguel Calo,2000
SODRAFL12A58A7E544,1,(Theme From) Carjack Fever (Album Version),King James Version,Harvey Danger,2000
SODRAUM12A6D4F6F4F,2,Chemistry,Night's Temper EP (A Prelude To War Stories),UNKLE,2005
SODRBIZ12A6701FD17,1,Sandy,Grease,John Travolta,1975
SODRBNX12A8C132F7E,3,The Luckiest,Rockin' The Suburbs,Ben Folds,2000
SODRCJO12A81C21EB9,1,Snow On A Hot Day (Erot Remix),In My Mind 1997-2007 - Best Of Bertine Zetlitz,Bertine Zetlitz,2005
SODRDFF12AC468D982,1,Uhrattu (Sacrificed) (Album),Teraphim,Azaghal,2005
SODRDZR12AB0188EF8,1,You Girl,Boston's Boy,Sam Adams,0
SODRELW12AB0185414,10,Beatbox (Nus Track),Reflexion Bajo Un Flexo,Arma Blanca,0
SODREUL12AB018D6C3,88,Underground,Relapse,Eminem,2005
SODREWS12A8C13E771,1,Honeymoon Child,Fisherman's Woman,Emiliana Torrini,2005
SODREZL12A6D4F7D16,1,Wishful Thinking,Diary: A Collection,China Crisis,1980
SODRFHZ12AB018EEBE,2,Shallow End,Fragments Of Freedom,Morcheeba,2000
SODRFRJ12A8C144167,15,Airplanes,Gorilla Manor,Local Natives,2005
SODRFVG12A8C13F758,2,Next to you,Greatest Hits,The Offspring,2005
SODRGQE12A8C1326B1,10,Give It All You Got,Fastway,Fastway,1980
SODRGTS12A8C137EC2,1,Twinkle,New Amerykah Part One (4th World War),Erykah Badu,2005
SODRIBU12AC468AA39,7,Birds Of A Feather,The Story Of The Ghost,Phish,1995
SODRIZV12A8C136004,1,Freeways,BTO's Greatest,Bachman-Turner Overdrive,1975
SODRJDW12A8C136AB0,11,Kansas City,Tighten Up Volume 1,Joya Landis,2000
SODRJEH12AB017BDCC,4,Slow Graffiti,The BBC Sessions,Belle and Sebastian,1995
SODRJUV12AF729E691,1,Hey_ That's No Way To Say Goodbye,Live In London,Leonard Cohen,0
SODRJZO12AC4684FF6,8,Angel / Better Together,En Concert,Jack Johnson,2005
SODRJZU12A58A7C02F,8,One Of Those Days,The Very Best Of Chesney Hawkes,Chesney Hawkes,2005
SODRKRR12A8C143B88,1,We Are Not Alone,The Breakfast Club,Karla Devito,1985
SODRLDE12AB0183A0E,5,Stillness,The War Within,Shadows Fall,2000
SODRLEQ12A6701F953,6,Saturdays,Bright Like Neon Love,Cut Copy,2000
SODRLKA12A6D4F9CE6,1,Now Or Never,Chained,At Vance,2005
SODRLNA12A6D4FC17F,1,Big Big World,Miss Independent,Emilia,0
SODRLTF12A8C13B3F0,5,Be Stiff,On The Other Hand There's A Fist,Jona Lewie,1975
SODRLUT12A6D4FACDC,10,Para Troilo Y Salgán,Spain,Michel Camilo / Tomatito,0
SODRMES12A8C13F613,11,Bad Town,Operation Ivy,Operation Ivy,1985
SODRMUG12A58A79A4E,1,Lillian,When Your Heart Stops Beating,+44,2005
SODRMYB12A8C13C80E,2,Keep Falling,In Between,Jazzanova,2000
SODRNML12A58A777AF,1,Love Circles,Frank - Expanded Reissue,Squeeze,1985
SODRNYI12A81C21877,4,Without You (Album Version),Diorama,Silverchair,2000
SODROKA12A3F1EA8FA,11,Afraid Of Sunlight (Acoustic Demo),Afraid Of Sunlight,Marillion,1995
SODROYR12A6D4F8E65,1,Coasting,Intergalactic Sonic Sevens,Ash,0
SODROZF12A8AE4740F,6,Between The Lines,Little Voice,Sara Bareilles,2005
SODRPOD12AB0185D84,2,Torch Song Trilogy (LP Version),So..Hows Your Girl,Handsome Boy Modeling School,0
SODRQHM12A8C1343AD,2,The Future Has Arrived,Meet The Robinsons Original Soundtrack (French Version),The All American Rejects,2005
SODRQMA12A58A7CBFD,4,Love Stinks,Love Stinks,J. Geils Band,1980
SODRQSK12A58A7B93A,3,Jeffe 2000,Galactic Vintage Reserve,Galactic,2000
SODRRYR12AC468A3B3,1,Corazón Atamishqueño,Paisano Vivo (Descalzo Por Los Caminos),Raly Barrionuevo,0
SODRTCM12AF72AAF84,7,Allison Road,New Miserable Experience,Gin Blossoms,1990
SODRTLS12AB018B325,24,We Want To,The Optimist,New Young Pony Club,2010
SODRTWC12A6D4F8AB8,1,Let Me Be Your Valentine,Rough And Tough And Dangerous - The Singles 1994 - 1998,Scooter,0
SODRUCE12A8C141123,4,Always Remember,For Me_ It's You,Train,2005
SODRUFM12A8AE48561,1,A Thousand Beautiful Things,Dance Vault Mixes - A Thousand Beautiful Things,Annie Lennox,2000
SODRUKP12AB018E66A,2,Go Ahead,Folk & Proud,Rilo Kiley,2000
SODRUNK12AC468E3BC,2,Corner Talk,Vagabond Lullabies,Po' Girl,2000
SODRUUM12AB018F7DA,1,Future 86,Album Minus Band,BOMB THE MUSIC INDUSTRY,2005
SODRVBA12A58A7F235,26,Grow Up and Blow Away,Grow Up and Blow Away,Metric,2000
SODRVJE12AB0185201,1,Return Of Forever,Confidential (UK edition),High Contrast,2000
SODRVMJ12A8C13E5BB,3,You Look Like Rain,The Best Of Mountain Stage - Vol. 7,Morphine,1990
SODRVTG12A8AE46169,12,Crazy For You No Kisetsu (Album Version),C,Base Ball Bear,2005
SODRWBG12A6D4F8E93,4,Sorry She's Mine,Small Faces,Small Faces,1965
SODRWCH12A6D4F60ED,1,All I Want,Piece Of Paradise,Sky,0
SODRXWP12A8C1345F1,4,Listen To Your Heart,Force of Nature,3rd Force,1995
SODRXWX12A6701CB2D,1,Close Enough,American Fool,John Mellencamp,1980
SODRZDD12A6D4FA3FE,3,Bite My Tongue,Five Score And Seven Years Ago,Relient K,2005
SODSBAN12AB017C374,1,Noose,Burn The Sun,Ark,0
SODSBFK12AB018C57A,8,A Lion's Heart,The Wild Hunt,The Tallest Man On Earth,2010
SODSBMO12A8C143641,2,Love Lost,Conditions,The Temper Trap,2005
SODSBXG12A6310E90F,3,Weeping Willow,Urban Hymns,The Verve,1995
SODSCIQ12AF72A0319,2,Tanto Tempo,Tanto Tempo,Bebel Gilberto,2000
SODSCTS12A6D4F99CA,1,Boppin' The Blues,Rockabilly Riot Vol. 1 - A Tribute To Sun Records,Brian Setzer,2005
SODSCUQ12A6D4FBEBF,1,Tell Me Soon,Calling The World,Rooney,2005
SODSCXC12A6701CD67,4,Lovin' You,Perfect Angel/Adventures In Paradise,Minnie Riperton,1970
SODSECH12A8C13E44C,1,The Receiving End Of It All (Album Version),Somewhere In The Between,Streetlight Manifesto,2005
SODSEJS12A8C132377,4,Mir Kann Nichts Passieren (Glove Grand Disco Remix),Mir Kann Nichts Passieren,2raumwohnung,2005
SODSENB12A8C13ABCB,1,Drum And The Uncomfortable Can [Liars Re-mix],The Other Side of Mt. Heart Attack,Liars,2005
SODSESK12A81C2178C,13,Arcade Robot,Oi Oi oi,Boys Noize,2005
SODSETW12A6D4F8849,11,Another Saturday Night,Remember Cat Stevens - The Ultimate Collection (Ecopac),Cat Stevens,1970
SODSFJV12A58A7C6EE,2,Punch Bowl,Punch,Punch Brothers,2005
SODSFQH12A8C13D58D,8,Funny Little Frog,The Life Pursuit,Belle & Sebastian,2005
SODSFTT12AB017C0AA,1,Above The Winter Moonlight,Sonic Firestorm,Dragonforce,2000
SODSFZP12A6D4F78FE,1,Winter Marches On,The Singles Box 1986 - 1995,Duran Duran,1985
SODSGMP12AB01845C8,1,Revolution Rock,El Ritmo Mundial,Los Fabulosos Cadillacs,1985
SODSHNU12A8C135B75,1,High Come Down,Last Exit,Junior Boys,2000
